Probability,,Probability: Theory and Examples,Rick Durrett,https://services.math.duke.edu/~rtd/PTE/PTE4_1.pdf,book,Statistics,Statistics,2.7
The Elements of Statistical Learning,,The Elements of Statistical Learning: Data Mining; Inference; and Prediction,Trevor Hastie and Robert Tibshirani,https://web.stanford.edu/~hastie/Papers/ESLII.pdf,book,Statistics,Statistics,4
Elemantary Statistics,,Elemantary Statistics,Robert R. Johnson; Patricia J. Kuby ,http://cnx.org/exports/7c25472c-19f0-413a-a561-9168925edd9d%404.1.pdf/elementary-statistics-4.1.pdf,book,Statistics,Statistics,3.5
Introduction to the Theory of Statistics,,Introduction to the Theory of Statistics,Alexander M. Mood; Franklin A. Graybill; Duane C. Boes,https://www.amazon.com/Introduction-Statistics-FRANKLIN-GRAYBILL-ALEXANDER/dp/0070445206,book,Statistics,Statistics,4.5
Probability and Statistics for Engineers and Scientists,,Probability and Statistics for Engineers and Scientists,Ronald E. Walpole and Raymond H. Myers,http://jtdellosa.weebly.com/uploads/5/4/1/7/5417983/probability__statistics_for_engineers__scientists_9th_edition_-_walpole.pdf,book,Statistics,Statistics,3.5
Statitical Methods and Data Analysis,,An Introduction to Statistical Methods and Data Analysis,R. Lyman Ott and Micheal T. Longnecker,http://www.univpgri-palembang.ac.id/perpus-fkip/Perpustakaan/Metodologi/Lyman_Ott;_Michael_Longnecker-An_Introduction_to_Statistical_Methods_and_Data_Analysis;_6th_Edition____-Brooks_Cole(2010).pdf,book,Statistics,Statistics,4
An Introduction to Probability Theory and Its Applications,,An Introduction to Probability Theory and Its Applications,William Feller    ,http://www.gbv.de/dms/ilmenau/toc/219834725.PDF,book,Statistics,Statistics,4.6
An Introduction to Statistical Learning,,An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),Gareth James and Daniela Witten,http://www-bcf.usc.edu/~gareth/ISL/ISLR%20First%20Printing.pdf,book,Computer Science,Machine Learning,4.7
R in Action,,R in Action: Data Analysis and Graphics with R,Robert Kabacoff,http://kek.ksu.ru/eos/DataMining/1379968983.pdf,book,Statistics,Statistical Computing,4.7
Statistics Tutorial,,Statistics Tutorial,tutorial points,https://www.tutorialspoint.com/statistics/,tutorial,Statistics,Statistics,2
UsableStats: Statistics Tutorials,,UsableStats: Statistics Tutorials,Usablestats,https://www.usablestats.com/tutorials.php,tutorial,Statistics,Statistics,2
